st_rad,st_raerr,st_disterr1,st_masserr2,st_teffn,st_distn,pl_orbinclerr2,pl_bmassprov,pl_ttvflag,pl_orbeccenn,st_disterr2,ra_str,st_raderr2,pl_discmethod,pl_orbincllim,gaia_gmaglim,pl_bmassjlim,pl_orbperlim,pl_denslim,pl_bmassj,pl_orbsmaxlim,pl_dens,pl_denserr2,pl_radjlim,st_tefferr2,gaia_gmagerr,pl_orbsmaxerr1,st_tefflim,st_radn,pl_orbpererr1,pl_orbpererr2,pl_orbper,pl_orbeccenlim,rowupdate,pl_radj,pl_radn,pl_orbeccen,pl_orbsmaxerr2,pl_bmassn,pl_orbincl,st_decerr,st_posn,pl_letter,pl_hostname,pl_orbeccenerr2,pl_radjerr1,st_teff,pl_bmassjerr1,st_radlim,pl_orbincln,pl_orbinclerr1,pl_kepflag,pl_orbeccenerr1,st_massn,st_masslim,ra,dec_str,st_raderr1,st_optmaglim,pl_orbsmaxn,st_optmag,pl_pnum,st_dist,pl_nnotes,gaia_gmag,pl_orbsmax,pl_facility,st_optband,st_masserr1,pl_bmassjerr2,pl_controvflag,st_tefferr1,pl_densn,st_mass,st_distlim,pl_k2flag,st_optmagerr,pl_name,pl_orbpern,pl_radjerr2,dec,pl_denserr1
2.96,,,-0.20,,,-15.500,Mass,,,,,-0.07,,0,,0,,0,9.00000,0,8.050000,,0,-100.00,,49.300000,0,,,,,0,,1.120,,0.400000,-49.300000,,42.600,,,b,,-0.210000,,9770.00,,0,,15.600,,0.200000,,0,73.9410446,,0.10,,,,,,1,,93.900000,,,0.20,,,100.00,,2.40,,,,AB Aur b,,,30.5510888,
1.00,,,-0.10,,,,Mass,,,,,-0.02,,,,0,,0,13.50000,0,12.700000,,0,-9.00,,,0,,,,,,,1.100,,,,,,,,b,,,,5285.00,0.50000,0,,,,,,0,94.8039208,,0.03,,,,,,1,,260.000000,,,0.10,-0.50000,,10.00,,0.90,,,,AB Pic b,,,-58.0541184,
1.25,,,-0.06,,,-12.000,Mass,,,,,-0.06,,0,,0,0,0,3.20000,0,2.490000,,0,-60.00,,1.100000,0,,1800.00000000,-1800.00000000,8030.00000000,0,,1.170,,0.240000,-1.300000,,50.000,,,b,,-0.150000,,6130.00,0.70000,0,,9.000,,0.270000,,0,81.7699216,,0.06,,,,,,2,,8.400000,,,0.06,-0.60000,,60.00,,1.20,,,,AF Lep b,,,-11.9011752,
0.82,,,-0.03,,,-0.300,Mass,,,,,-0.02,,0,,0,0,0,0.06330,0,1.320000,-0.200000,0,-31.00,,0.001300,0,,,,8.46299910,0,,0.353,,0.186000,-0.001300,,89.500,,,b,,-0.035000,0.013,3665.00,0.00494,0,,0.300,,0.036000,,0,311.2911369,,0.02,,,,,,1,,0.064500,,,0.03,-0.00541,,31.00,,0.50,,,,AU Mic b,,-0.013,-31.3424500,0.190000
0.82,,,-0.03,,,-0.217,Mass,,,,,-0.02,,0,,0,0,0,0.03020,0,1.220000,-0.290000,0,-31.00,,0.002000,0,,,,18.85899100,0,,0.289,,0.003380,-0.002000,,89.227,,,c,,-0.001640,0.014,3665.00,0.00651,0,,0.217,,0.001640,,0,311.2911369,,0.02,,,,,,2,,0.110100,,,0.03,-0.00727,,31.00,,0.50,,,,AU Mic c,,-0.014,-31.3424500,0.260000
0.74,,,-0.03,,,-1.158,Mass,,,,,-0.02,,0,,0,0,0,0.00331,,5.450000,,0,-88.00,,,0,,0.00793000,-0.00793000,12.73596000,0,,0.091,,0.003050,,,89.318,,,d,,-0.001040,,3678.00,0.00161,0,,1.158,,0.001040,,0,311.2911369,,0.02,,,,,,1,,,,,0.03,-0.00161,,90.00,,0.51,,,,AU Mic d,,,-31.3424500,
32.35,,,-0.25,,,,Msini,,,,,-8.82,,,,0,0,0,6.40000,0,5.460000,,0,-20.00,,0.100000,0,,2.70000000,-2.80000000,481.90000000,0,,1.130,,0.200000,-0.100000,,,,,b,,-0.080000,,4095.00,1.30000,0,,,,0.120000,,0,177.5647268,,8.82,,,,,,0,,1.300000,,,0.25,-1.30000,,20.00,,1.14,,,,BD+03 2562 b,,,2.7601075,
0.86,,,-0.33,,,,Msini,,,,,-0.04,,,,0,0,0,1.04000,0,0.691000,,0,-101.00,,0.050000,0,,0.99000000,-0.99000000,268.94000000,0,,1.230,,0.290000,-0.050000,,,,,b,,-0.030000,,4864.00,0.47000,0,,,,0.030000,,0,318.4010002,,0.04,,,,,,0,,0.780000,,,0.33,-0.47000,,101.00,,0.49,,,,BD+14 4559 b,,,14.6893834,
8.95,,,-0.14,,,,Msini,,,,,-1.45,,,,0,0,0,1.06100,0,0.705000,,0,-30.00,,0.027000,0,,0.44000000,-0.44000000,153.22000000,0,,1.230,,0.001000,-0.027000,,,,,b,,-0.001000,,4649.00,0.27000,0,,,,0.250000,,0,176.4820239,,1.45,,,,,,0,,0.576000,,,0.14,-0.27000,,30.00,,1.08,,,,BD+15 2375 b,,,14.6163182,
14.70,,,-0.20,,,,Msini,,,,,-2.80,,,,0,0,0,1.11000,0,0.754000,,0,-117.00,,,0,,0.34000000,-0.34000000,137.48000000,0,,1.230,,0.260000,,,,,,b,,-0.100000,,4796.00,,0,,,,0.100000,,0,240.0956400,,2.80,,,,,,0,,0.539000,,,0.20,,,117.00,,1.10,,,,BD+15 2940 b,,,15.5467507,
